,0,Features remaining
751,False,
752,False,
753,False,
754,False,
755,False,
756,False,
757,False,
758,False,
759,False,
760,False,
761,False,
762,False,
763,False,
764,False,
765,False,
766,False,
767,False,
768,False,
769,False,
770,False,
771,False,
772,False,
773,False,
774,False,
775,False,
776,False,
777,False,
778,False,
779,False,
780,False,
781,False,
782,False,
783,False,
784,False,
785,False,
786,False,
787,False,
788,False,
789,False,
790,False,
791,False,
792,False,
793,False,
794,False,
795,False,
796,False,
797,False,
798,False,
799,False,
800,False,
801,False,
802,False,
803,False,
804,False,
805,False,
806,False,
807,False,
808,False,
809,False,
810,False,
811,False,
812,False,
813,False,
814,False,
815,False,
816,False,
817,False,
818,False,
819,False,
820,False,
821,False,
822,False,
823,False,
824,False,
825,False,
826,False,
827,False,
828,False,
829,False,
830,False,
831,False,
832,False,
833,False,
834,False,
835,False,
836,False,
837,False,
838,False,
839,False,
840,False,
841,False,
842,False,
843,False,
844,False,
845,False,
846,False,
847,False,
848,False,
849,False,
850,False,
851,False,
852,False,
853,False,
854,False,
855,False,
856,False,
857,False,
858,False,
859,False,
860,False,
861,False,
862,False,
863,True,
864,True,
865,True,
866,True,
867,True,
868,True,
869,True,
870,True,
871,True,
872,True,
873,True,
874,False,
875,True,
876,False,
877,True,
878,False,
879,True,
880,True,
881,True,
882,True,
883,True,
884,True,
885,True,
886,True,
887,True,
888,True,
889,True,
890,True,
891,True,
892,True,
893,True,
894,True,
895,False,
896,False,
897,False,
898,False,
899,True,
900,False,
